Amp,Pitch,Speed
-2.508649047626269e-21,0.0,-23.025576462730708
0.00022686030246598732,0.0,-22.972067054158945
0.00029652218015670235,0.0,-22.9186387134186
0.00025887900872849,0.0,-22.86529138013361
0.00016382416383769512,0.0,-22.81202499392796
6.12510211406629e-05,0.0,-22.758839494425594
1.0529562937379674e-06,0.0,-22.70573482125049
2.8735738022688466e-05,0.0,-22.65271091402662
0.00012436233556299605,0.0,-22.599767712377925
0.00021772429902113655,0.0,-22.546905155928386
0.00023872125320037075,0.0,-22.494123184301948
0.00017110207079623085,0.0,-22.441421737122592
6.834587625050237e-05,0.0,-22.388800754014262
-1.1547189547374668e-05,0.0,-22.336260174600934
-3.4864687487270986e-05,0.0,-22.28379993850659
-2.1839372267563647e-05,0.0,-22.23141998535516
3.4510621250299466e-08,0.0,-22.17912025477062
9.108074793932125e-06,0.0,-22.12690068637694
6.973163955669768e-06,0.0,-22.074761219798077
9.968391820170435e-07,0.0,-22.02270179465798
-2.258181095950327e-06,0.0,-21.970722350580637
-2.1279034713210907e-06,0.0,-21.91882282719
-5.74317605361838e-07,0.0,-21.867003164110027
5.199583465368729e-07,0.0,-21.815263300964702
6.2449289225223e-07,0.0,-21.76360317737796
2.420821298547335e-07,0.0,-21.71202273297378
-1.0566790215448358e-07,0.0,-21.660521907376125
-1.7668040154782397e-07,0.0,-21.60910064020896
-8.893491863705274e-08,0.0,-21.557758871096244
1.608430915184184e-08,0.0,-21.50649653966193
4.812000242976469e-08,0.0,-21.455313585529996
3.0055388056431186e-08,0.0,-21.40420994832441
-9.486178780021061e-11,0.0,-21.353185567669115
-1.246975166407483e-08,0.0,-21.3022403831881
-9.431638231489823e-09,0.0,-21.251374334505293
-1.3020486302965878e-09,0.0,-21.200587361244704
2.7767835385825855e-09,0.0,-21.149879403030244
2.2555236537829753e-09,0.0,-21.099250399485918
3.88660556386222e-10,0.0,-21.04870029023567
2.2505813210649297e-10,0.0,-20.998229014903462
1.546110902598306e-09,0.0,-20.947836513113273
1.6496792834041193e-09,0.0,-20.897522724489043
-2.1114504232055503e-09,0.0,-20.84728758865476
-7.973511103557587e-09,0.0,-20.79713104523436
-8.521013242583228e-09,0.0,-20.74705303385182
3.979064740877834e-09,0.0,-20.697053494131126
2.690707597978037e-08,0.0,-20.647132365696198
